Timestamp,Age ,Level of education,Time Spent,Most used platform,Main activity,Positive enhancement,Checks social media,Frequency of Procrastination,Social media Breaks,Duration of Breaks,Affects academic performance,Good balance between social media use and academic responsibilities,Experience guilt,Strategies used,Tools to manage,Suggestions to manage time
7/25/2024 14:24:39,18-22,High school,3-4 hours,Instagram,Social networking,Agree,Sometimes,Rarely,Rarely,5-10 minutes,Slightly,Neutral,Sometimes,Setting time limits,Never,"Introduce gamified breaks with short, engaging activities that promote mindfulness and relaxation, encouraging users to take regular breaks from social media."
7/25/2024 14:27:04,18-22,Undergraduate,More than 6 hours,Instagram,Watching videos,Agree,Often,Often,Often,More than 30 minutes,Significantly,Agree,Often,Using productivity apps,Never,Setting time limits
7/25/2024 17:02:37,18-22,Undergraduate,1-2 hours,Instagram,Social networking,Neutral,Often,Rarely,Sometimes,20-30 minutes,Moderately,Disagree,Rarely,Setting time limits,Often,Reduce the use age of social media 
7/25/2024 17:06:49,Above 25,Postgraduate,Less than 1 hour,Instagram,Watching videos,Neutral,Sometimes,Never,Always,More than 30 minutes,Slightly,Neutral,Always,Setting time limits,Never,—
7/25/2024 18:14:47,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Strongly agree,Sometimes,Often,Sometimes,5-10 minutes,Extremely,Strongly disagree,Always,Setting time limits,Sometimes,Setting time limits for the app
7/25/2024 18:23:48,15-18,High school,1-2 hours,Instagram,Watching videos,Neutral,Often,Rarely,Always,20-30 minutes,Significantly,Neutral,Always,Turning off notifications,Rarely,"Probably a useful application for students on managing all in one .. studies,  extracurricular,self study  ,plan etc etc"
7/25/2024 19:55:39,Under 15,High school,Less than 1 hour,YouTube,Watching videos,Neutral,Rarely,Never,Sometimes,More than 30 minutes,Slightly,Disagree,Sometimes,Turning off notifications,Never,idk
7/25/2024 20:28:32,Under 15,Postgraduate,Less than 1 hour,YouTube,Watching videos,Agree,Never,Never,Sometimes,5-10 minutes,Slightly,Strongly agree,Rarely,Setting time limits,Never,Timetable
7/25/2024 20:30:07,15-18,High school,Less than 1 hour,Instagram,Watching videos,Neutral,Sometimes,Sometimes,Sometimes,20-30 minutes,Not at all,Agree,Sometimes,Turning off notifications,Sometimes,Chat locking
7/25/2024 21:13:14,22-25,Postgraduate,3-4 hours,YouTube,Professional networking,Neutral,Sometimes,Never,Rarely,5-10 minutes,Not at all,Neutral,Sometimes,Turning off notifications,Sometimes,Alarm and time management schedule 
7/26/2024 8:03:28,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Agree,Sometimes,Sometimes,Always,5-10 minutes,Moderately,Neutral,Rarely,Turning off notifications,Never,Pappilae ku ivlo panradhe perusu..no comments
7/26/2024 16:13:29,18-22,Undergraduate,More than 6 hours,Instagram,Watching videos,Strongly agree,Always,Always,Always,More than 30 minutes,Not at all,Strongly disagree,Rarely,Turning off notifications,Sometimes,Set daily or weekly time limits for specific apps or overall social media usage.
7/26/2024 20:18:58,Above 25,Undergraduate,5-6 hours,YouTube,Watching videos,Strongly agree,Often,Never,Never,20-30 minutes,Not at all,Strongly agree,Never,Turning off notifications,Rarely,Usage time alert
7/26/2024 21:53:50,Above 25,Undergraduate,1-2 hours,YouTube,Watching videos,Agree,Rarely,Sometimes,Rarely,5-10 minutes,Not at all,Agree,Never,Setting time limits,Never,Time. Management 
7/26/2024 22:05:11,15-18,Undergraduate,More than 6 hours,Instagram,Watching videos,Agree,Sometimes,Rarely,Often,More than 30 minutes,Significantly,Agree,Often,Turning off notifications,Never,Parenting
7/27/2024 11:28:33,Under 15,High school,3-4 hours,YouTube,Watching videos,Agree,Never,Sometimes,Often,10-20 minutes,Moderately,Agree,Often,Setting time limits,Never,If we use 1 Or 2 hours on social media it should show some alarm. 
7/27/2024 12:02:51,18-22,Undergraduate,1-2 hours,YouTube,Watching videos,Strongly agree,Rarely,Rarely,Sometimes,5-10 minutes,Not at all,Agree,Sometimes,Turning off notifications,Sometimes,.
7/27/2024 12:07:32,18-22,Undergraduate,1-2 hours,YouTube,Professional networking,Strongly agree,Rarely,Never,Sometimes,Less than 5 minutes,Moderately,Strongly agree,Sometimes,Using productivity apps,Never,Scheduled time for everything
7/27/2024 12:08:06,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Neutral,Sometimes,Often,Always,More than 30 minutes,Moderately,Neutral,Sometimes,Turning off notifications,Never,Automated closing of apps 
7/27/2024 12:09:24,18-22,Undergraduate,3-4 hours,Twitter,Browsing and updating posts,Disagree,Often,Sometimes,Always,20-30 minutes,Significantly,Disagree,Sometimes,Setting time limits,Sometimes,Idk
7/27/2024 12:11:55,Above 25,Undergraduate,5-6 hours,Instagram,Watching videos,Disagree,Never,Rarely,Never,20-30 minutes,Not at all,Agree,Sometimes,Turning off notifications,Rarely,I don't know 
7/27/2024 12:13:55,18-22,Undergraduate,3-4 hours,YouTube,Watching videos,Neutral,Often,Often,Sometimes,20-30 minutes,Significantly,Neutral,Always,Setting time limits,Rarely,Automatic locking of the social accounts when they are used more than the essential time periods
7/27/2024 12:14:07,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Always,Sometimes,Rarely,5-10 minutes,Moderately,Neutral,Sometimes,Turning off notifications,Rarely,Set a limit 
7/27/2024 12:19:25,18-22,Undergraduate,3-4 hours,Instagram,Social networking,Neutral,Often,Often,Sometimes,More than 30 minutes,Moderately,Neutral,Sometimes,Turning off notifications,Rarely,Student needs clear roatmap
7/27/2024 12:22:00,18-22,High school,3-4 hours,Instagram,Watching videos,Disagree,Often,Often,Always,10-20 minutes,Significantly,Neutral,Always,Setting time limits,Always,Complete lock up of social media app after a certain time limit
7/27/2024 12:24:55,18-22,High school,5-6 hours,Instagram,Browsing and updating posts,Agree,Often,Often,Sometimes,20-30 minutes,Moderately,Disagree,Always,Deleting and locking apps,Rarely,Setting a timer so that the app cannot be accessed within the time set
7/27/2024 12:34:48,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Strongly agree,Sometimes,Rarely,Never,More than 30 minutes,Not at all,Agree,Sometimes,Turning off notifications,Never,I have no suggestions.
7/27/2024 12:48:12,18-22,Undergraduate,5-6 hours,Instagram,Watching videos,Strongly agree,Rarely,Rarely,Rarely,20-30 minutes,Moderately,Neutral,Sometimes,Setting time limits,Sometimes,Maybe like..got me worked up with other things like that' doesn't involves my mobile phone..maybe like art works and gardening works..to keep my mind busy...cuz if we are like free..we tend to take mobile phones..soo we get ourself worked up..then it should do it ig 
7/27/2024 12:55:01,18-22,Undergraduate,Less than 1 hour,Instagram,Watching videos,Agree,Sometimes,Rarely,Often,5-10 minutes,Not at all,Strongly agree,Sometimes,Setting time limits,Sometimes,-
7/27/2024 13:32:39,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Neutral,Rarely,Sometimes,Sometimes,5-10 minutes,Moderately,Neutral,Sometimes,Setting time limits,Rarely,-
7/27/2024 13:34:42,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Agree,Sometimes,Rarely,Sometimes,10-20 minutes,Slightly,Agree,Never,Turning off notifications,Rarely,Sports activities 
7/27/2024 13:54:28,Above 25,Doctorate,Less than 1 hour,Instagram,Browsing and updating posts,Neutral,Rarely,Never,Sometimes,5-10 minutes,Moderately,Neutral,Often,Deleting and locking apps,Always,Nothing 
7/27/2024 14:05:22,18-22,Undergraduate,More than 6 hours,Instagram,Watching videos,Agree,Always,Always,Often,More than 30 minutes,Slightly,Agree,Rarely,Turning off notifications,Never,Dont know
7/27/2024 14:10:20,18-22,Undergraduate,3-4 hours,Instagram,Professional networking,Agree,Sometimes,Rarely,Never,More than 30 minutes,Moderately,Agree,Never,Turning off notifications,Sometimes,Notification off for all apps 
7/27/2024 14:13:25,18-22,High school,3-4 hours,Instagram,Watching videos,Agree,Sometimes,Sometimes,Often,10-20 minutes,Moderately,Agree,Sometimes,Deleting and locking apps,Sometimes,App lock
7/27/2024 14:14:03,18-22,Undergraduate,1-2 hours,Instagram,Social networking,Agree,Sometimes,Often,Often,10-20 minutes,Moderately,Agree,Rarely,Turning off notifications,Rarely,Something that helps with locking the app for a particular time period
7/27/2024 14:46:20,18-22,Undergraduate,1-2 hours,YouTube,Watching videos,Strongly agree,Often,Often,Sometimes,5-10 minutes,Significantly,Neutral,Often,Deleting and locking apps,Always,Scheduled timer where the app is locked for a particular time in day
7/27/2024 14:47:24,18-22,Undergraduate,1-2 hours,Instagram,Social networking,Neutral,Sometimes,Sometimes,Sometimes,10-20 minutes,Moderately,Neutral,Sometimes,Deleting and locking apps,Sometimes,Time limiter
7/27/2024 14:53:19,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Strongly agree,Sometimes,Rarely,Sometimes,5-10 minutes,Slightly,Agree,Rarely,Setting time limits,Rarely,focus mode in phones 
7/27/2024 14:54:52,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Neutral,Rarely,Sometimes,Always,5-10 minutes,Moderately,Agree,Often,Setting time limits,Never,Time limit and maintaining a to do list
7/27/2024 15:06:53,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Agree,Often,Sometimes,Often,More than 30 minutes,Significantly,Agree,Sometimes,Turning off notifications,Rarely,Uninstall 
7/27/2024 15:21:35,18-22,Undergraduate,1-2 hours,Instagram,Browsing and updating posts,Neutral,Sometimes,Sometimes,Sometimes,10-20 minutes,Slightly,Neutral,Sometimes,Deleting and locking apps,Sometimes,Switch off the phone 
7/27/2024 15:29:29,18-22,High school,1-2 hours,Instagram,Social networking,Neutral,Sometimes,Sometimes,Sometimes,5-10 minutes,Significantly,Disagree,Sometimes,Deleting and locking apps,Sometimes,-
7/27/2024 16:37:28,18-22,Undergraduate,1-2 hours,Instagram,Social networking,Agree,Sometimes,Rarely,Sometimes,10-20 minutes,Significantly,Neutral,Often,Setting time limits,Never,"Usage tracking,setting time limits"
7/27/2024 16:42:33,15-18,High school,Less than 1 hour,Instagram,Browsing and updating posts,Strongly agree,Rarely,Never,Sometimes,More than 30 minutes,Not at all,Strongly agree,Never,Setting time limits,Never,Spend time with family or friends . Reading books . Outdoor games with friends. Any help for mother and father. Help to brother or sister in studies
7/27/2024 17:17:15,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Strongly agree,Sometimes,Sometimes,Sometimes,10-20 minutes,Slightly,Agree,Rarely,Turning off notifications,Never,An ai bot which delivers notifications in an interactive manner
7/27/2024 17:39:50,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Sometimes,Sometimes,Often,10-20 minutes,Extremely,Strongly agree,Sometimes,Turning off notifications,Often,a feature that wouldnt display notifications for a set amount of time or something that would offer rewards equivalent to the number of hours a person is productive 
7/27/2024 19:05:50,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Agree,Sometimes,Often,Always,10-20 minutes,Extremely,Strongly agree,Always,Setting time limits,Never,Time alarm 
7/27/2024 19:17:53,15-18,Undergraduate,3-4 hours,Instagram,Browsing and updating posts,Neutral,Often,Sometimes,Often,20-30 minutes,Moderately,Neutral,Sometimes,Turning off notifications,Rarely,-
7/27/2024 19:21:29,18-22,Undergraduate,1-2 hours,Instagram,Social networking,Agree,Sometimes,Rarely,Sometimes,5-10 minutes,Slightly,Agree,Rarely,Turning off notifications,Never,-
7/27/2024 19:23:20,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Rarely,Sometimes,Often,5-10 minutes,Significantly,Neutral,Always,Turning off notifications,Never,App limits
7/27/2024 19:40:24,18-22,Undergraduate,1-2 hours,YouTube,Watching videos,Strongly agree,Rarely,Rarely,Often,10-20 minutes,Slightly,Strongly agree,Sometimes,Deleting and locking apps,Rarely,Reminder of works
7/27/2024 19:48:02,18-22,Undergraduate,Less than 1 hour,YouTube,Watching videos,Agree,Sometimes,Sometimes,Sometimes,More than 30 minutes,Moderately,Neutral,Sometimes,Setting time limits,Sometimes,Reading 
7/27/2024 20:12:54,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Neutral,Sometimes,Sometimes,Often,More than 30 minutes,Moderately,Neutral,Sometimes,Turning off notifications,Never,"A time management tool for social media should track usage, set customizable alerts, schedule specific time slots, filter distracting content, provide break reminders, offer focus mode, generate activity reports, set goals, include parental controls, and integrate with productivity apps."
7/27/2024 20:19:09,18-22,Undergraduate,3-4 hours,Instagram,Social networking,Neutral,Sometimes,Sometimes,Often,20-30 minutes,Significantly,Neutral,Sometimes,Turning off notifications,Sometimes,Tool that automatically come out from social media after a particular time in day and it should not go in after the time is over 
7/27/2024 20:38:26,18-22,Undergraduate,5-6 hours,Instagram,Watching videos,Agree,Sometimes,Often,Sometimes,5-10 minutes,Moderately,Neutral,Often,Turning off notifications,Sometimes,Using productively 
7/27/2024 20:52:46,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Often,Rarely,Often,More than 30 minutes,Extremely,Disagree,Always,Setting time limits,Rarely,Set hour limits and a person can never use the app after the usage of  that particular hour gets over 
7/27/2024 20:59:36,18-22,Undergraduate,1-2 hours,YouTube,Watching videos,Agree,Sometimes,Sometimes,Often,More than 30 minutes,Significantly,Agree,Always,Deleting and locking apps,Often,Idk
7/27/2024 22:04:54,18-22,Undergraduate,5-6 hours,Instagram,Social networking,Agree,Sometimes,Sometimes,Often,10-20 minutes,Slightly,Neutral,Rarely,Turning off notifications,Never,Nil
7/27/2024 22:29:43,15-18,Undergraduate,5-6 hours,Instagram,Social networking,Disagree,Often,Often,Sometimes,20-30 minutes,Moderately,Neutral,Sometimes,Deleting and locking apps,Never,Nothing
7/27/2024 22:36:32,18-22,Undergraduate,3-4 hours,YouTube,Social networking,Strongly agree,Sometimes,Sometimes,Sometimes,More than 30 minutes,Slightly,Agree,Rarely,Turning off notifications,Always,"1) We can have locks that we cant unlock if the scheduled time is exceeded . 

2) Have an option like parental control where from an another device we can control our limits and restrictions

I hope following these can help us to reduce the usage of social apps 
"
7/28/2024 5:47:10,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Strongly agree,Sometimes,Sometimes,Sometimes,20-30 minutes,Moderately,Disagree,Often,Setting time limits,Never,Just not using ur phone and hide it switch it off
7/28/2024 6:25:16,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Rarely,Sometimes,Sometimes,10-20 minutes,Moderately,Agree,Always,Turning off notifications,Never,Automatic lock of app like some websites do like cooling period or something..which we cannot access easily so that we’ll get some break
7/28/2024 9:11:29,18-22,Postgraduate,1-2 hours,Instagram,Watching videos,Neutral,Always,Always,Always,20-30 minutes,Extremely,Strongly disagree,Always,Turning off notifications,Sometimes,Switching the office the Phone 
7/28/2024 9:36:08,18-22,Undergraduate,1-2 hours,LinkedIn,Social networking,Neutral,Rarely,Sometimes,Sometimes,5-10 minutes,Slightly,Agree,Sometimes,Turning off notifications,Never,Alarm
7/28/2024 10:20:43,18-22,Undergraduate,5-6 hours,Instagram,Social networking,Disagree,Often,Often,Always,20-30 minutes,Significantly,Disagree,Often,Setting time limits,Sometimes,Time limit 
7/28/2024 11:03:54,18-22,Undergraduate,1-2 hours,YouTube,Browsing and updating posts,Agree,Often,Rarely,Sometimes,10-20 minutes,Moderately,Agree,Sometimes,Setting time limits,Rarely,-
7/28/2024 11:06:01,15-18,High school,3-4 hours,Instagram,Watching videos,Agree,Sometimes,Rarely,Never,5-10 minutes,Slightly,Neutral,Sometimes,Turning off notifications,Never,-
7/28/2024 11:22:59,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Sometimes,Sometimes,Sometimes,More than 30 minutes,Slightly,Agree,Sometimes,Setting time limits,Sometimes,Timer
7/28/2024 11:26:48,15-18,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Often,Sometimes,Always,More than 30 minutes,Extremely,Neutral,Always,Deleting and locking apps,Never,Time limit 
7/28/2024 14:32:05,15-18,High school,1-2 hours,YouTube,Watching videos,Neutral,Sometimes,Often,Sometimes,20-30 minutes,Significantly,Neutral,Always,Deleting and locking apps,Never,Timer
7/28/2024 14:43:44,15-18,High school,1-2 hours,Instagram,Watching videos,Neutral,Sometimes,Always,Always,More than 30 minutes,Extremely,Strongly disagree,Often,Turning off notifications,Never,None
7/28/2024 18:23:56,18-22,Undergraduate,3-4 hours,Instagram,Browsing and updating posts,Neutral,Sometimes,Sometimes,Sometimes,More than 30 minutes,Moderately,Disagree,Sometimes,Using productivity apps,Never,May be anything like a time reminder
7/28/2024 18:56:31,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Neutral,Often,Often,Sometimes,10-20 minutes,Moderately,Disagree,Sometimes,Turning off notifications,Never,-
7/28/2024 18:58:21,15-18,High school,5-6 hours,Instagram,Browsing and updating posts,Agree,Often,Sometimes,Often,10-20 minutes,Slightly,Agree,Rarely,Setting time limits,Never,-
7/28/2024 19:02:26,15-18,High school,5-6 hours,Instagram,Browsing and updating posts,Agree,Often,Sometimes,Often,5-10 minutes,Moderately,Neutral,Sometimes,Setting time limits,Sometimes,Time limit
7/28/2024 19:14:55,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Often,Sometimes,Often,10-20 minutes,Significantly,Agree,Often,Setting time limits,Sometimes,Time limits
7/28/2024 19:15:01,18-22,Undergraduate,1-2 hours,YouTube,Watching videos,Neutral,Often,Often,Often,10-20 minutes,Moderately,Neutral,Often,Setting time limits,Never,Alarm
7/28/2024 19:25:09,18-22,Undergraduate,3-4 hours,YouTube,Watching videos,Agree,Often,Sometimes,Rarely,20-30 minutes,Moderately,Disagree,Often,Deleting and locking apps,Never,Automatic alarm or timer 
7/28/2024 19:25:42,18-22,Undergraduate,3-4 hours,Instagram,Watching videos,Agree,Often,Sometimes,Sometimes,10-20 minutes,Moderately,Neutral,Often,Turning off notifications,Rarely,Focus mode
7/28/2024 19:26:56,18-22,Undergraduate,5-6 hours,Instagram,Watching videos,Agree,Rarely,Never,Sometimes,10-20 minutes,Moderately,Agree,Always,Turning off notifications,Never,Nothing
7/28/2024 19:28:09,Under 15,Undergraduate,5-6 hours,Instagram,Social networking,Strongly disagree,Sometimes,Often,Rarely,More than 30 minutes,Slightly,Agree,Often,Deleting and locking apps,Sometimes,Gggug
7/28/2024 19:28:42,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Strongly agree,Sometimes,Rarely,Often,20-30 minutes,Moderately,Agree,Sometimes,Using productivity apps,Sometimes,Forest - an app which lets you focus on your task
7/28/2024 19:28:55,18-22,High school,5-6 hours,Instagram,Social networking,Agree,Often,Often,Often,10-20 minutes,Moderately,Neutral,Often,Turning off notifications,Never,time limit 
7/28/2024 19:29:59,18-22,Undergraduate,More than 6 hours,YouTube,Watching videos,Strongly agree,Sometimes,Rarely,Rarely,20-30 minutes,Extremely,Strongly agree,Rarely,Setting time limits,Never,nil
7/28/2024 19:30:31,15-18,Undergraduate,3-4 hours,Instagram,Watching videos,Strongly agree,Sometimes,Sometimes,Sometimes,20-30 minutes,Moderately,Neutral,Sometimes,Turning off notifications,Sometimes,Switch off the mobile 
7/28/2024 19:31:14,22-25,Postgraduate,1-2 hours,Twitter,Professional networking,Disagree,Often,Rarely,Never,10-20 minutes,Moderately,Neutral,Rarely,Setting time limits,Sometimes,Methods to reduce social media 
7/28/2024 19:31:49,15-18,Postgraduate,Less than 1 hour,Twitter,Browsing and updating posts,Disagree,Often,Rarely,Never,More than 30 minutes,Significantly,Disagree,Never,Deleting and locking apps,Sometimes,AI tools
7/28/2024 19:32:25,Above 25,Postgraduate,Less than 1 hour,Instagram,Social networking,Strongly disagree,Never,Always,Sometimes,5-10 minutes,Slightly,Agree,Rarely,Turning off notifications,Never,Sleep
7/28/2024 19:32:59,22-25,High school,Less than 1 hour,YouTube,Watching videos,Strongly agree,Always,Always,Often,More than 30 minutes,Extremely,Strongly agree,Always,Using productivity apps,Always,Timer
7/28/2024 19:33:40,Under 15,Postgraduate,More than 6 hours,Facebook,Browsing and updating posts,Neutral,Sometimes,Sometimes,Sometimes,10-20 minutes,Slightly,Disagree,Rarely,Deleting and locking apps,Rarely,Low social media
7/28/2024 19:34:21,15-18,Undergraduate,1-2 hours,Facebook,Watching videos,Strongly disagree,Always,Rarely,Sometimes,20-30 minutes,Extremely,Agree,Often,Deleting and locking apps,Often,Less phone usage
7/28/2024 19:34:53,18-22,Undergraduate,Less than 1 hour,YouTube,Watching videos,Strongly agree,Rarely,Never,Never,More than 30 minutes,Slightly,Strongly agree,Rarely,Using productivity apps,Never,Nill
7/28/2024 19:35:29,Above 25,Doctorate,1-2 hours,YouTube,Watching videos,Neutral,Often,Rarely,Often,5-10 minutes,Significantly,Disagree,Sometimes,Setting time limits,Often,Eye awareness
7/28/2024 19:36:02,22-25,Undergraduate,5-6 hours,LinkedIn,Watching videos,Agree,Sometimes,Rarely,Always,10-20 minutes,Slightly,Disagree,Rarely,Deleting and locking apps,Often,No suggestion 
7/28/2024 19:36:47,22-25,Undergraduate,5-6 hours,Facebook,Browsing and updating posts,Agree,Sometimes,Sometimes,Often,20-30 minutes,Significantly,Strongly agree,Always,Setting time limits,Often,No suggestion 
7/28/2024 19:39:20,15-18,High school,5-6 hours,Instagram,Watching videos,Agree,Always,Often,Often,20-30 minutes,Significantly,Agree,Often,Setting time limits,Sometimes,Reducing tools
7/28/2024 19:39:40,18-22,Undergraduate,Less than 1 hour,LinkedIn,Professional networking,Strongly disagree,Rarely,Never,Rarely,Less than 5 minutes,Not at all,Strongly agree,Rarely,Deleting and locking apps,Rarely,-
7/28/2024 19:40:09,Under 15,High school,3-4 hours,Twitter,Watching videos,Disagree,Rarely,Rarely,Always,20-30 minutes,Significantly,Neutral,Sometimes,Setting time limits,Often,Neenga edhachu sollungalen
7/28/2024 19:41:40,18-22,Undergraduate,1-2 hours,Instagram,Watching videos,Agree,Sometimes,Rarely,Sometimes,10-20 minutes,Moderately,Neutral,Rarely,Turning off notifications,Never,I feel that lot of changes is to be made..as many people are getting addicted.there should be many changes
7/28/2024 20:00:15,Above 25,Postgraduate,1-2 hours,Facebook,Watching videos,Strongly agree,Rarely,Sometimes,Sometimes,Less than 5 minutes,Significantly,Disagree,Sometimes,Using productivity apps,Never,Timer
7/28/2024 20:04:55,18-22,Undergraduate,3-4 hours,Instagram,Browsing and updating posts,Strongly agree,Always,Sometimes,Always,5-10 minutes,Slightly,Neutral,Sometimes,Setting time limits,Never,time limit 
7/28/2024 20:29:29,18-22,Undergraduate,5-6 hours,Instagram,Watching videos,Neutral,Rarely,Sometimes,Sometimes,More than 30 minutes,Significantly,Neutral,Always,Using productivity apps,Often,-
7/30/2024 8:11:17,18-22,Undergraduate,3-4 hours,Instagram,Social networking,Neutral,Often,Rarely,Sometimes,More than 30 minutes,Moderately,Agree,Sometimes,Turning off notifications,Rarely,When the time is up the tool must prevent the app from opening and pushing notifications. Also when we try to open the app it must show our goal message.
